iter	Passed	Remaining
400	21790	5379
401	21849	5326
402	21902	5271
403	21958	5217
404	22022	5165
405	22066	5109
406	22134	5057
407	22190	5003
408	22245	4949
409	22296	4894
410	22357	4841
411	22409	4786
412	22458	4730
413	22535	4681
414	22610	4630
415	22666	4576
416	22721	4522
417	22777	4468
418	22816	4410
419	22878	4357
420	22928	4302
421	23011	4253
422	23075	4200
423	23133	4146
424	23192	4092
425	23253	4039
426	23314	3985
427	23367	3931
428	23428	3877
429	23486	3823
430	23542	3769
431	23596	3714
432	23680	3664
433	23739	3610
434	23794	3555
435	23845	3500
436	23901	3445
437	23954	3390
438	24012	3336
439	24075	3283
440	24118	3226
441	24167	3171
442	24218	3116
443	24274	3061
444	24322	3006
445	24383	2952
446	24435	2897
447	24491	2842
448	24533	2786
449	24590	2732
450	24643	2677
451	24696	2622
452	24745	2567
453	24797	2512
454	24864	2459
455	24934	2406
456	24988	2351
457	25043	2296
458	25109	2242
459	25173	2189
460	25239	2135
461	25287	2079
462	25330	2024
463	25388	1969
464	25447	1915
465	25516	1861
466	25571	1806
467	25636	1752
468	25690	1698
469	25748	1643
470	25800	1588
471	25860	1534
472	25920	1479
473	25975	1424
474	26032	1370
475	26091	1315
476	26146	1260
477	26211	1206
478	26279	1152
479	26340	1097
480	26399	1042
481	26463	988
482	26528	933
483	26590	879
484	26638	823
485	26692	768
486	26749	714
487	26795	658
488	26851	604
489	26892	548
490	26946	493
491	26996	438
492	27043	383
493	27099	329
494	27164	274
495	27213	219
496	27269	164
497	27316	109
498	27367	54
499	27418	0
