iter	RMSE
191	4372.68959
192	4369.930415
193	4363.623591
194	4360.160771
195	4357.824292
196	4354.192134
197	4352.124811
198	4340.822415
199	4337.799203
200	4332.736254
201	4326.339356
202	4315.573328
203	4306.540139
204	4295.366908
205	4287.55085
206	4282.900303
207	4273.788541
208	4270.77387
209	4269.039828
210	4264.69309
211	4252.384053
212	4249.672557
213	4243.793958
214	4237.423513
215	4234.1971
216	4231.578864
217	4227.417218
218	4223.848517
219	4219.01906
220	4213.24849
221	4208.655092
222	4204.709514
223	4202.460215
224	4200.198405
225	4197.802481
226	4192.137063
227	4189.215148
228	4186.051847
229	4175.492942
230	4173.44974
231	4168.526675
232	4164.943055
233	4163.145266
234	4154.389068
235	4146.856912
236	4143.644048
237	4140.971278
238	4137.559743
239	4134.031009
240	4131.283286
241	4128.536569
242	4126.273784
243	4123.262789
244	4120.468422
245	4114.435778
246	4106.192026
247	4100.248193
248	4097.373098
249	4091.101946
250	4083.739959
251	4081.502437
252	4074.259154
253	4072.396006
254	4070.272832
255	4062.048198
256	4054.813248
257	4052.179644
258	4050.758073
259	4049.007084
260	4045.33697
261	4043.682378
262	4041.275408
263	4039.613451
264	4037.85113
265	4035.643744
266	4032.978975
267	4027.607379
268	4023.449782
269	4021.247224
270	4019.258135
271	4013.759144
272	4006.953749
273	4002.499808
274	4000.451851
275	3998.192097
276	3990.05739
277	3988.138125
278	3984.938649
279	3983.028504
280	3980.696379
281	3976.986873
282	3971.283141
283	3965.747696
284	3963.380784
285	3962.157466
286	3960.444019
287	3954.974697
288	3951.309572
289	3949.313374
290	3943.964269
291	3940.867387
292	3937.147573
293	3935.249684
294	3933.364826
295	3931.549113
296	3928.353146
297	3926.119723
298	3924.445902
299	3921.922689
300	3914.25355
301	3910.418424
302	3904.30552
303	3900.760555
304	3898.798503
305	3896.647746
306	3894.937696
307	3892.656463
308	3890.692874
309	3887.314738
310	3884.237463
311	3882.819203
312	3877.474017
313	3876.054513
314	3874.334274
315	3872.184658
316	3867.843596
317	3863.865678
318	3860.691983
319	3856.397167
320	3853.679098
321	3847.671111
322	3844.601387
323	3839.419294
324	3837.509948
325	3835.101246
326	3831.463466
327	3828.819533
328	3824.937596
329	3823.376255
330	3819.153144
331	3817.020999
332	3813.767485
333	3811.15136
334	3808.972131
335	3806.57611
336	3805.031572
337	3801.378726
338	3799.132752
339	3796.414547
340	3792.743679
341	3791.182011
342	3788.78079
343	3786.800802
344	3781.022629
345	3779.137185
346	3774.572476
347	3772.399498
348	3770.636566
349	3766.216302
350	3762.926452
351	3758.66719
352	3755.5205
353	3754.173113
354	3753.044498
355	3751.139593
356	3747.551497
357	3744.607303
358	3743.192328
359	3738.838332
360	3736.167967
361	3731.652572
362	3729.870181
363	3728.485744
364	3726.858722
365	3724.31703
366	3722.022381
367	3720.2021
368	3718.569824
369	3717.446845
370	3712.657182
371	3711.135255
372	3709.368718
373	3707.601855
374	3705.991995
375	3704.907771
376	3703.865948
377	3701.374484
378	3695.757167
379	3694.192005
380	3692.102437
381	3689.534276
382	3687.297012
383	3686.046381
384	3684.623656
385	3681.504888
386	3679.635634
387	3677.849636
388	3676.17185
389	3674.671173
390	3672.941823
391	3671.516382
392	3667.14868
393	3665.75099
394	3663.478158
395	3662.012799
396	3660.395019
397	3656.722029
398	3654.745513
399	3653.61478
400	3649.682035
401	3647.110492
402	3642.439499
403	3640.018034
404	3638.908731
405	3636.921247
406	3635.096766
407	3632.263988
408	3629.190814
409	3627.76405
410	3625.70514
411	3624.452397
412	3623.332872
413	3620.435857
414	3615.18003
415	3613.373245
416	3611.706633
417	3607.879068
418	3606.725049
419	3605.547271
420	3602.537718
421	3600.734772
422	3596.667626
423	3594.136426
424	3592.162398
425	3589.129776
426	3587.251291
427	3585.559703
428	3582.688009
429	3580.519467
430	3576.830753
431	3574.341375
432	3572.118465
433	3570.363933
434	3567.982473
435	3566.055384
436	3564.23108
437	3561.452551
438	3557.473961
439	3556.499263
440	3555.588545
441	3554.362505
442	3553.195596
443	3549.873567
444	3549.026204
445	3546.807572
446	3545.01393
447	3541.342332
448	3540.22878
449	3538.279354
450	3537.09005
451	3534.609711
452	3532.567371
453	3530.05111
454	3527.780792
455	3525.054934
456	3523.13171
457	3522.137917
458	3520.38193
459	3519.602934
460	3518.568543
461	3516.992619
462	3516.201582
463	3514.071649
464	3512.150999
465	3510.51713
466	3509.258186
467	3507.966242
468	3505.677171
469	3504.35949
470	3503.253927
471	3500.822445
472	3499.068934
473	3497.272421
474	3496.160529
475	3494.631247
476	3492.637297
477	3491.281161
478	3489.677623
479	3485.635194
480	3482.271555
481	3481.307187
482	3480.407731
483	3479.371761
484	3477.496653
485	3475.883809
486	3473.676647
487	3472.605129
488	3471.700684
489	3470.28228
490	3469.381226
491	3468.052362
492	3467.018271
493	3465.057403
494	3463.472072
495	3462.581724
496	3461.100587
497	3460.380078
498	3459.130213
499	3457.844067
