iter	RMSE
0	28347.03137
1	27054.07898
2	25826.48602
3	24668.64267
4	23572.52069
5	22537.38635
6	21560.23189
7	20634.96956
8	19762.58527
9	18938.73002
10	18159.9787
11	17431.09702
12	16742.58957
13	16089.46236
14	15478.97828
15	14905.42993
16	14366.47644
17	13859.36071
18	13387.78337
19	12943.01636
20	12529.16742
21	12141.08179
22	11767.56804
23	11429.73159
24	11105.15266
25	10811.54316
26	10527.63612
27	10268.48982
28	10033.04278
29	9813.992087
30	9607.476639
31	9419.771623
32	9217.328522
33	8993.091991
34	8814.933238
35	8675.851151
36	8548.001608
37	8404.989188
38	8254.974894
39	8105.342117
40	7979.852425
41	7893.421724
42	7773.784785
43	7679.320747
44	7610.690854
45	7499.199893
46	7432.767419
47	7318.900507
48	7231.673385
49	7140.300002
50	7049.625453
51	6992.47603
52	6954.359538
53	6875.82776
54	6823.411482
55	6738.176393
56	6708.944427
57	6642.502864
58	6604.47963
59	6559.985542
60	6494.336965
61	6428.746961
62	6363.991979
63	6340.097343
64	6287.609496
65	6241.155531
66	6202.718074
67	6152.480615
68	6115.59526
69	6093.779736
70	6081.283793
71	6034.933785
72	6004.601448
73	5964.770263
74	5915.219612
75	5870.456409
76	5857.148519
77	5830.841166
78	5785.009143
79	5771.04572
80	5726.749628
81	5694.926978
82	5658.747839
83	5620.322692
84	5579.671818
85	5550.116897
86	5530.264192
87	5492.668466
88	5469.53874
89	5442.200756
90	5427.863623
91	5401.537073
92	5373.575099
93	5360.644925
94	5338.190186
95	5304.211474
96	5281.195076
97	5266.374525
98	5249.18994
99	5223.576488
100	5208.149642
101	5191.790497
102	5165.732514
103	5158.00718
104	5144.810483
105	5119.190172
106	5105.670612
107	5089.440906
108	5075.634262
109	5053.748671
110	5038.990912
111	5024.736403
112	5019.056575
113	5014.733388
114	4996.841659
115	4984.136002
116	4979.723927
117	4969.332415
118	4955.930599
119	4928.405087
120	4914.633175
121	4895.025309
122	4886.771783
123	4877.046745
124	4859.116233
125	4853.513334
126	4849.421562
127	4839.697779
128	4833.180122
129	4827.82991
130	4824.184499
131	4815.770567
132	4801.656572
133	4790.877449
134	4782.059853
135	4775.957279
136	4759.223176
137	4754.969944
138	4750.706457
139	4747.786124
140	4744.104711
141	4733.98107
142	4730.638004
143	4726.550435
144	4715.83195
145	4704.404927
146	4694.650798
147	4682.817757
148	4678.031865
149	4673.724487
150	4668.061387
151	4650.311385
152	4644.747275
153	4641.198458
154	4636.095615
155	4628.027352
156	4625.182987
157	4622.273939
158	4608.950408
159	4604.720969
160	4601.36196
161	4598.711472
162	4595.365026
163	4587.678292
164	4584.308913
165	4576.152751
166	4563.826538
167	4557.2184
168	4552.967086
169	4549.587029
170	4542.072487
171	4529.894333
172	4522.163651
173	4516.15591
174	4503.83311
175	4497.104365
176	4485.437654
177	4482.925355
178	4479.888413
179	4468.815608
180	4466.687308
181	4458.066799
182	4449.103102
183	4439.914318
184	4432.910814
185	4420.592969
186	4412.612678
187	4402.718826
188	4397.415244
189	4383.195558
190	4381.012595
